id,input,output
0,"This study aimed to evaluate the diagnostic value of the different Complete blood count-derived systemic inflammation indexes, including neutrophil-to-lymphocyte ratio (NLR), platelet-to-lymphocyte ratio (PLR), systemic immune-inflammation index (SII), and neutrophil to lymphocyte × platelet ratio (NLPR) in differential diagnosing the chronic calculus cholecystitis (CCC) and the acute calculus cholecystitis (ACC), as well as determining the severity of ACC.","[{'entity1': 'Systemic inflammation indexes', 'relationship': 'derived from', 'entity2': 'Complete blood count'}, {'entity1': 'NLR', 'relationship': 'associated with', 'entity2': 'differential diagnosing'}, {'entity1': 'PLR', 'relationship': 'associated with', 'entity2': 'differential diagnosing'}, {'entity1': 'SII', 'relationship': 'associated with', 'entity2': 'differential diagnosing'}, {'entity1': 'NLPR', 'relationship': 'associated with', 'entity2': 'differential diagnosing'}, {'entity1': 'CCC', 'relationship': 'differential diagnosing', 'entity2': 'ACC'}, {'entity1': 'ACC', 'relationship': 'differential diagnosing', 'entity2': 'CCC'}, {'entity1': 'ACC', 'relationship': 'determining', 'entity2': 'severity'}]"
1,"105 CCC and 88 ACC patients were enrolled. NLR, PLR, SII, and NLPR were evaluated in both cohorts as well as in different severity levels of ACC. The severity of ACC was determined based on the Tokyo Guidelines. Receiver operating characteristic (ROC) curve and Univariate/multivariate regression analyses were conducted.","[{'entity1': 'CCC patients', 'relationship': 'enrolled', 'entity2': '105'}, {'entity1': 'ACC patients', 'relationship': 'enrolled', 'entity2': '88'}, {'entity1': 'NLR', 'relationship': 'evaluated in', 'entity2': 'both cohorts'}, {'entity1': 'PLR', 'relationship': 'evaluated in', 'entity2': 'both cohorts'}, {'entity1': 'SII', 'relationship': 'evaluated in', 'entity2': 'both cohorts'}, {'entity1': 'NLPR', 'relationship': 'evaluated in', 'entity2': 'both cohorts'}, {'entity1': 'severity levels', 'relationship': 'determined based on', 'entity2': 'Tokyo Guidelines'}, {'entity1': 'ROC curve', 'relationship': 'used for', 'entity2': 'analyses'}, {'entity1': 'Univariate/multivariate regression analyses', 'relationship': 'conducted for', 'entity2': 'evaluations'}]"
2,"The levels of NLR, PLR, SII, and NLPR were significantly higher in the ACC group compared to the CCC group. The optimal cutoff values for NLR, PLR, SII, and NLPR were determined to be 3.89, 144.7, 896.8, and 0.031 respectively. NLR>3.89 demonstrates the highest predictive capability with an AUC of 0.801 and a sensitivity of 72.73%.","[{'entity1': 'NLR levels', 'relationship': 'higher in', 'entity2': 'ACC group'}, {'entity1': 'PLR levels', 'relationship': 'higher in', 'entity2': 'ACC group'}, {'entity1': 'SII levels', 'relationship': 'higher in', 'entity2': 'ACC group'}, {'entity1': 'NLPR levels', 'relationship': 'higher in', 'entity2': 'ACC group'}, {'entity1': 'optimal cutoff values', 'relationship': 'determined for', 'entity2': 'NLR, PLR, SII, NLPR'}, {'entity1': 'NLR', 'relationship': 'demonstrates', 'entity2': 'highest predictive capability'}, {'entity1': 'NLR', 'relationship': 'associated with', 'entity2': 'AUC of 0.801'}, {'entity1': 'NLR', 'relationship': 'associated with', 'entity2': 'sensitivity of 72.73%'}]"
3,"Multivariate analysis showed that NLR>3.89 (OR: 4.169, p = 0.004) and NLPR>0.031 (OR: 4.304, p = 0.005) were dominant in distinguishing ACC from CCC. In ACC patients, the levels of NLR, SII, and NLPR were significantly higher in the Moderate to Severe-degree ACC (MS-ACC) group than in","[{'entity1': 'NLR>3.89', 'relationship': 'dominant in', 'entity2': 'distinguishing ACC from CCC'}, {'entity1': 'NLPR>0.031', 'relationship': 'dominant in', 'entity2': 'distinguishing ACC from CCC'}, {'entity1': 'NLR levels', 'relationship': 'higher in', 'entity2': 'Moderate to Severe-degree ACC group'}, {'entity1': 'SII levels', 'relationship': 'higher in', 'entity2': 'Moderate to Severe-degree ACC group'}, {'entity1': 'NLPR levels', 'relationship': 'higher in', 'entity2': 'Moderate to Severe-degree ACC group'}]"
4,"NLR>3.89 (OR: 4.169, p = 0.004) and NLPR>0.031 (OR: 4.304, p = 0.005) were dominant in distinguishing ACC from CCC. In ACC patients, the levels of NLR, SII, and NLPR were significantly higher in the Moderate to Severe-degree ACC (MS-ACC) group than in Mild-Degree ACC (M-ACC). NLPR > 0.044 exhibited the highest predictive ability with an AUC of 0.778 and a specificity of 91.67%. Multivariate analysis showed that NLR>6.399 (OR: 10.308, p = 0.000) was a possible independent prognostic factor for accessing the severity of ACC.","[{'entity1': 'NLR', 'relationship': 'distinguishing', 'entity2': 'ACC'}, {'entity1': 'NLPR', 'relationship': 'distinguishing', 'entity2': 'ACC'}, {'entity1': 'NLR', 'relationship': 'higher', 'entity2': 'Moderate to Severe-degree ACC'}, {'entity1': 'NLR', 'relationship': 'higher', 'entity2': 'Mild-Degree ACC'}, {'entity1': 'NLPR', 'relationship': 'predictive', 'entity2': 'ACC'}, {'entity1': 'NLR', 'relationship': 'prognostic factor', 'entity2': 'severity of ACC'}]"
5,"Conclusion: Systemic inflammation indexes can be useful in predicting the risk of ACC and MS-ACC. NLR demonstrates the best distinguishing power and sensitivity for distinguishing ACC from CCC, while NLPR shows the best predictive power and specificity for predicting the severity of ACC.","[{'entity1': 'Systemic inflammation indexes', 'relationship': 'predicting', 'entity2': 'risk of ACC'}, {'entity1': 'NLR', 'relationship': 'distinguishing', 'entity2': 'ACC'}, {'entity1': 'NLPR', 'relationship': 'predicting', 'entity2': 'severity of ACC'}]"
6,"Introduction Cholecystitis is a widespread issue characterized by inflammation of the gallbladder, often prompted by blockage of the cystic duct. Calculous cholecystitis (CC) accounts for 95% of cases and can be further classified as chronic calculous cholecystitis (CCC) or acute calculous cholecystitis (ACC) based on the severity of clinical manifestations and the rate of disease progression.","[{'entity1': 'Cholecystitis', 'relationship': 'characterized by', 'entity2': 'inflammation of gallbladder'}, {'entity1': 'CC', 'relationship': 'accounts for', 'entity2': '95% of cases'}, {'entity1': 'CC', 'relationship': 'classified as', 'entity2': 'chronic calculous cholecystitis'}, {'entity1': 'CC', 'relationship': 'classified as', 'entity2': 'acute calculous cholecystitis'}]"
7,ACC is assessed using scoring systems and involves collecting numerous parameters. Accurate diagnosis of different types of cholecystitis is crucial for optimal patient outcomes. Prompt urgent cholecystectomy is recommended for CCC patients. Delayed diagnosis can lead to complications like gallbladder perforation and sepsis.,"[{'entity1': 'ACC', 'relationship': 'assessed using', 'entity2': 'scoring systems'}, {'entity1': 'diagnosis', 'relationship': 'crucial for', 'entity2': 'patient outcomes'}, {'entity1': 'CCC', 'relationship': 'recommended for', 'entity2': 'patients'}, {'entity1': 'delayed diagnosis', 'relationship': 'can lead to', 'entity2': 'complications'}]"
8,White blood cell (WBC) count and leukocyte subtype cells are valuable indicators for predicting the inflammatory process in acute cholecystitis. Elevated WBC count is a primary biomarker for assessing the severity of cholecystitis. Platelets also play a role in inflammation and host defense.,"[{'entity1': 'WBC count', 'relationship': 'valuable indicators for', 'entity2': 'inflammatory process'}, {'entity1': 'WBC count', 'relationship': 'primary biomarker for', 'entity2': 'severity of cholecystitis'}, {'entity1': 'Platelets', 'relationship': 'play a role in', 'entity2': 'inflammation'}]"
9,"Neutrophil-to-lymphocyte ratio (NLR), platelet-to-lymphocyte ratio (PLR), systemic immune-inflammation index (SII), and neutrophil-to-lymphocyte platelet ratio (NLPR) are potential valuable indicators in assessing the inflammatory process. These indices offer a rapid, accessible, and cost-effective method for differentiating diagnose ACC from CCC and determining the severity of ACC.","[{'entity1': 'NLR', 'relationship': 'potential valuable indicators in', 'entity2': 'inflammatory process'}, {'entity1': 'PLR', 'relationship': 'potential valuable indicators in', 'entity2': 'inflammatory process'}, {'entity1': 'SII', 'relationship': 'potential valuable indicators in', 'entity2': 'inflammatory process'}, {'entity1': 'NLPR', 'relationship': 'potential valuable indicators in', 'entity2': 'inflammatory process'}, {'entity1': 'indices', 'relationship': 'offer', 'entity2': 'method for differentiating diagnose ACC from CCC'}]"
