id,input,output
,"The integrity of the intestinal barrier is fundamental to maintain healthy gut homeostasis, as well as physiological intestinal permeability. It is widely known that, under chronic inflammation, intestinal homeostasis is altered, resulting in an impairment of the barrier functions and thus, an increase in intestinal permeability.","[{'entity1': 'intestinal barrier integrity', 'relationship': 'fundamental', 'entity2': 'healthy gut homeostasis'}, {'entity1': 'intestinal barrier integrity', 'relationship': 'fundamental', 'entity2': 'physiological intestinal permeability'}, {'entity1': 'chronic inflammation', 'relationship': 'result', 'entity2': 'impairment of barrier functions'}, {'entity1': 'impairment of barrier functions', 'relationship': 'increase', 'entity2': 'intestinal permeability'}]"
,"In order to induce an intestinal inflammation status in vitro, human HCoEpiC cells were exposed to supernatants (SN) derived from phytohemagglutinin (PHA)-treated PBMCs, which have been reported to be concentrated in pro-inflammatory cytokines such as TNF-α, IL-8 and IL-17.","[{'entity1': 'phytohemagglutinin-treated PBMCs supernatants', 'relationship': 'induce', 'entity2': 'intestinal inflammation'}, {'entity1': 'phytohemagglutinin-treated PBMCs supernatants', 'relationship': 'concentrated', 'entity2': 'TNF-alpha'}, {'entity1': 'phytohemagglutinin-treated PBMCs supernatants', 'relationship': 'concentrated', 'entity2': 'IL-8'}, {'entity1': 'phytohemagglutinin-treated PBMCs supernatants', 'relationship': 'concentrated', 'entity2': 'IL-17'}]"
,"Transepithelial electrical resistance (TEER) measurements, expressed in Ω/cm,2 were performed with a -Millicell® ERS-2 device, after either a 24-hours or a 72-hours incubation period, with/without PHA-treated-PBMCs SN, with/without either the Veh. or c-MIM-1, added 30 minutes before the SN.","[{'entity1': 'Transepithelial electrical resistance', 'relationship': 'performed', 'entity2': 'Millicell ERS-2 device'}, {'entity1': 'Transepithelial electrical resistance', 'relationship': 'incubation period', 'entity2': '24 hours'}, {'entity1': 'Transepithelial electrical resistance', 'relationship': 'incubation period', 'entity2': '72 hours'}, {'entity1': 'c-MIM-1', 'relationship': 'added', 'entity2': 'PHA-treated PBMCs supernatants'}]"
,"Interestingly, c-MIM-1 protected the epithelial cells against the PHA-stimulated PBMCs SN-induced disruption, after 24 hours.","[{'entity1': 'c-MIM-1', 'relationship': 'protected', 'entity2': 'epithelial cells'}, {'entity1': 'PHA-stimulated PBMCs supernatants', 'relationship': 'disruption', 'entity2': 'epithelial cells'}]"
,"In light of the previous encouraging results, we wanted to investigate if the tested medicine could modulate the expression of one of the proteins present within the tight junctions, involved in the regulation of the epithelial barrier permeability.","[{'entity1': 'tested medicine', 'relationship': 'modulate', 'entity2': 'expression of tight junction protein'}, {'entity1': 'tight junction protein', 'relationship': 'involved', 'entity2': 'regulation of epithelial barrier permeability'}]"
,"Overall, in inflammatory conditions, the Veh. did not modulate the claudin-1 expression at the mRNA level, compared with the SN from the PHA-treated PBMCs condition. However, when the cells were treated with c-MIM-1, a slight increase (of about 20%) in the claudin-1 expression was observed.","[{'entity1': 'c-MIM-1', 'relationship': 'increase', 'entity2': 'claudin-1 expression'}]"
,"In addition, ROC Curve Analysis demonstrated that NLR, SII, and NLPR might be acceptable in the differentiation of M-ACC and MS-ACC patients. The areas under the curve (AUC) for NLR, SII, and NLPR were 0.760, 0.723, and 0.778, respectively.","[{'entity1': 'NLR', 'relationship': 'acceptable', 'entity2': 'differentiation of M-ACC and MS-ACC patients'}, {'entity1': 'SII', 'relationship': 'acceptable', 'entity2': 'differentiation of M-ACC and MS-ACC patients'}, {'entity1': 'NLPR', 'relationship': 'acceptable', 'entity2': 'differentiation of M-ACC and MS-ACC patients'}]"
,"The optimal cut-off values were identified as 6.399, 1261, and 0.044 for NLR, SII, and NLPR. Sensitivities for NLR, SII, and NLPR were found to be 71.15%, 72.22%, and 61.54%, while specificities were 80.56%, 73.08%, and 91.67%.","[{'entity1': 'NLR cut-off value', 'relationship': 'identified', 'entity2': '6.399'}, {'entity1': 'SII cut-off value', 'relationship': 'identified', 'entity2': '1261'}, {'entity1': 'NLPR cut-off value', 'relationship': 'identified', 'entity2': '0.044'}, {'entity1': 'NLR sensitivity', 'relationship': 'found', 'entity2': '71.15%'}, {'entity1': 'SII sensitivity', 'relationship': 'found', 'entity2': '72.22%'}, {'entity1': 'NLPR sensitivity', 'relationship': 'found', 'entity2': '61.54%'}, {'entity1': 'NLR specificity', 'relationship': 'found', 'entity2': '80.56%'}, {'entity1': 'SII specificity', 'relationship': 'found', 'entity2': '73.08%'}, {'entity1': 'NLPR specificity', 'relationship': 'found', 'entity2': '91.67%'}]"
,Univariate and multivariable binary logistic analyses were conducted to evaluate the clinical significance of Inflammation  Indices  as  biomarkers  in  distinguishing  between  ACC  and  CCC  patients.,"[{'entity1': 'Univariate and multivariable binary logistic analyses', 'relationship': 'conducted', 'entity2': 'evaluate clinical significance of Inflammation Indices as biomarkers in distinguishing between ACC and CCC patients'}]"
,"It was shown that when the NLR was more than the cutoff value, there was an increased risk of (10.308 times higher) moderate to severe degree inflammation compared to the lower NLR","[{'entity1': 'NLR more than cutoff value', 'relationship': 'increased risk', 'entity2': 'moderate to severe degree inflammation'}]"
,"Chronic pain as a symptom or a disease, the IASP classification of chronic pain for the international classification of diseases (ICD-11).","[{'entity1': 'Chronic pain', 'relationship': 'classification', 'entity2': 'IASP classification of chronic pain'}, {'entity1': 'IASP classification of chronic pain', 'relationship': 'for', 'entity2': 'international classification of diseases (ICD-11)'}]"
,Mechanisms and therapeutic relevance of neuro-immune communication.,"[{'entity1': 'Mechanisms', 'relationship': 'relevance', 'entity2': 'neuro-immune communication'}, {'entity1': 'therapeutic', 'relationship': 'relevance', 'entity2': 'neuro-immune communication'}]"
,"The neuropathic pain triad, neurons, immune cells and glia.","[{'entity1': 'The neuropathic pain triad', 'relationship': 'consists of', 'entity2': 'neurons, immune cells and glia'}]"
,Functional brain imaging reveals rapid blockade of abdominal pain response upon anti-TNF therapy in crohn’s disease.,"[{'entity1': 'Functional brain imaging', 'relationship': 'reveals', 'entity2': 'rapid blockade of abdominal pain response upon anti-TNF therapy in crohn’s disease'}]"
